Context,Timestamp
Reading Instructions,08:17
File Manager,09:30
Terminal,09:34
VSCode,09:37
File Manager,09:59
File Editor,10:01
File Manager,10:04
VSCode,10:05
Reading Instructions,10:35
VSCode,10:45
File Manager,10:48
VSCode,10:52
Firefox,11:55
Reading Instructions,12:05
Firefox,12:07
VSCode,12:09
Firefox,12:14
VSCode,12:51
Terminal,12:57
Firefox,14:05
Reading Instructions,14:24
VSCode,14:39
Terminal,14:47
Reading Instructions,15:00
VSCode,15:02
Firefox,15:03
VSCode,15:55
Firefox,15:56
Terminal,15:57
VSCode,16:11
Firefox,16:14
VSCode,16:25
Terminal,16:34
VSCode,18:51
Terminal,18:56
Firefox,19:05
VSCode,19:44
Terminal,19:46
Reading Instructions,20:26
Terminal,20:34
Reading Instructions,21:14
VSCode,21:23
Terminal,21:33
VSCode,22:03
Terminal,22:53
Reading Instructions,23:54
Terminal,24:09
File Manager,24:37
VSCode,24:38
Terminal,24:45
VSCode,25:56
Terminal,26:01
VSCode,26:22
Terminal,26:29
VSCode,26:41
Firefox,26:54
VSCode,27:26
Terminal,27:29
End,27:47